fid;DN;Longitud;Latitud
1;4;-6.77;43.55
2;4;-6.75;43.55
3;4;-6.42;43.55
4;4;-6.34;43.55
5;4;-6.31;43.55
6;4;-6.28;43.56
7;4;-6.39;43.54
9;4;-6.27;43.54
10;4;-6.78;43.54
11;4;-6.46;43.54
12;4;-6.40;43.53
14;4;-6.69;43.53
16;4;-6.81;43.53
18;4;-5.29;43.52
19;4;-6.73;43.52
20;4;-6.67;43.54
21;4;-6.42;43.51
22;4;-6.69;43.51
23;4;-6.63;43.51
24;4;-6.46;43.51
25;4;-6.48;43.50
27;4;-6.71;43.50
28;4;-6.44;43.50
30;4;-5.26;43.50
31;4;-6.78;43.50
32;4;-6.73;43.49
33;4;-6.70;43.49
34;4;-6.45;43.49
35;4;-5.95;43.49
41;5;-3.83;43.49
43;9;-5.54;43.49
45;5;-3.78;43.49
46;4;-6.67;43.48
48;4;-5.96;43.48
51;5;-5.48;43.48
52;4;-5.13;43.48
53;5;-3.86;43.48
55;9;-5.49;43.49
57;4;-6.34;43.47
58;5;-5.52;43.50
61;4;-5.10;43.47
62;4;-6.69;43.47
63;3;-6.72;43.46
65;4;-6.66;43.47
66;4;-6.63;43.46
70;5;-5.50;43.47
73;4;-6.33;43.50
74;4;-6.45;43.46
78;7;-6.69;43.45
79;4;-6.64;43.45
80;4;-5.96;43.45
86;4;-3.47;43.45
87;4;-3.45;43.45
89;4;-6.87;43.45
90;4;-6.82;43.46
91;3;-6.74;43.45
94;5;-3.78;43.45
95;4;-6.95;43.44
96;4;-6.91;43.44
97;8;-6.84;43.44
99;4;-6.44;43.44
100;4;-6.39;43.44
101;4;-6.34;43.44
106;4;-5.37;43.44
108;8;-6.92;43.44
109;8;-6.85;43.44
110;7;-6.75;43.44
111;7;-6.72;43.44
112;3;-6.71;43.44
113;4;-6.65;43.44
114;4;-6.41;43.44
117;4;-5.45;43.44
121;3;-5.04;43.44
122;7;-5.02;43.44
123;3;-5.01;43.44
124;7;-5.00;43.44
126;4;-3.85;43.44
127;5;-3.75;43.44
128;5;-2.75;43.44
129;8;-6.89;43.43
132;7;-6.68;43.43
135;7;-5.06;43.44
136;9;-7.02;43.43
137;4;-6.96;43.43
139;8;-6.82;43.43
140;7;-6.71;43.43
141;3;-6.70;43.43
142;4;-6.38;43.43
143;4;-6.35;43.43
146;3;-5.09;43.43
147;7;-5.04;43.43
148;7;-5.01;43.43
153;3;-6.73;43.42
154;5;-2.72;43.42
155;5;-7.02;43.42
156;9;-7.01;43.42
157;13;-6.96;43.42
158;5;-6.92;43.42
160;4;-6.64;43.42
161;4;-6.34;43.42
162;4;-6.01;43.42
164;4;-5.81;43.42
168;4;-4.73;43.42
170;4;-6.79;43.43
171;4;-6.75;43.42
173;4;-6.85;43.42
175;4;-3.88;43.42
176;4;-2.74;43.41
180;3;-6.70;43.41
181;4;-6.65;43.41
189;3;-5.04;43.41
190;7;-5.01;43.41
195;4;-4.71;43.41
196;4;-3.84;43.41
199;6;-3.39;43.41
200;2;-3.37;43.41
201;10;-2.66;43.41
202;4;-6.39;43.41
206;5;-6.98;43.41
207;8;-6.81;43.41
209;6;-3.34;43.41
211;13;-6.90;43.40
212;4;-6.87;43.40
214;4;-6.79;43.40
215;7;-6.72;43.40
216;7;-6.70;43.40
217;4;-6.67;43.40
218;8;-6.37;43.40
219;4;-5.81;43.40
224;4;-5.17;43.40
225;3;-5.09;43.40
226;7;-5.02;43.40
230;4;-3.36;43.40
231;9;-2.73;43.40
233;10;-2.63;43.40
234;4;-6.24;43.41
237;4;-3.44;43.40
238;8;-6.29;43.40
242;4;-3.30;43.40
243;5;-7.01;43.39
244;13;-6.91;43.39
245;4;-6.84;43.39
246;8;-6.83;43.39
247;4;-6.37;43.39
248;9;-6.24;43.39
249;5;-6.22;43.39
251;4;-5.80;43.39
256;7;-5.07;43.39
257;3;-5.04;43.39
263;4;-4.59;43.39
265;2;-3.42;43.39
267;6;-3.28;43.39
268;9;-2.76;43.39
269;9;-2.66;43.39
270;9;-7.00;43.39
271;9;-6.93;43.40
274;4;-6.71;43.39
278;4;-4.49;43.38
280;4;-3.22;43.39
281;4;-7.49;43.38
282;4;-7.44;43.38
283;13;-6.97;43.38
284;5;-6.91;43.38
285;8;-6.89;43.38
286;8;-6.75;43.38
288;5;-6.24;43.38
290;3;-5.05;43.38
296;4;-3.99;43.38
300;2;-3.43;43.38
301;4;-3.40;43.39
302;4;-3.34;43.38
303;4;-3.32;43.38
304;6;-3.30;43.38
305;9;-2.73;43.38
306;9;-2.60;43.38
307;4;-2.59;43.38
308;4;-1.83;43.38
309;5;-6.17;43.40
311;4;-6.30;43.41
314;5;-2.66;43.39
319;2;-3.25;43.38
320;4;-3.01;43.38
321;4;-7.85;43.39
322;4;-7.83;43.37
324;9;-6.96;43.37
325;9;-6.94;43.37
326;9;-6.90;43.38
327;4;-6.85;43.37
335;4;-3.94;43.37
339;4;-3.28;43.38
340;2;-3.28;43.37
341;2;-3.22;43.37
342;4;-2.70;43.38
343;5;-2.69;43.37
344;4;-2.56;43.37
345;9;-1.86;43.37
346;4;-1.84;43.37
347;5;-2.75;43.38
348;4;-3.37;43.37
349;4;-6.88;43.37
351;9;-6.21;43.38
353;8;-5.38;43.37
354;4;-5.36;43.37
357;4;-2.67;43.37
358;4;-7.55;43.36
359;9;-7.02;43.36
360;13;-6.91;43.36
